                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.80779,                0.30979,                 1.0388,                0.85137,                0.82186,                0.87762,                0.60986,                 1.1811,                  1.075,                 1.3397,               0.000218,               0.000218,               0.000218
                     92,                0.80496,                0.30712,                 1.0367,                0.84516,                0.83719,                0.89039,                0.62147,                 1.1641,                 1.0326,                 1.3255,              0.0001982,              0.0001982,              0.0001982
                     93,                0.80554,                0.30746,                  1.035,                0.84035,                0.83671,                0.88498,                0.61613,                 1.1764,                 1.0414,                 1.3363,              0.0001784,              0.0001784,              0.0001784
                     94,                 0.8044,                0.30671,                 1.0372,                0.85109,                0.84707,                0.89393,                0.62325,                 1.1759,                0.99596,                 1.3426,              0.0001586,              0.0001586,              0.0001586
                     95,                0.79515,                0.30497,                 1.0285,                0.86256,                0.82105,                0.88233,                0.61321,                 1.1801,                 1.0278,                 1.3458,              0.0001388,              0.0001388,              0.0001388
                     96,                0.79414,                0.30551,                 1.0365,                0.84643,                0.85747,                 0.8943,                0.62621,                 1.1722,                0.97641,                 1.3366,               0.000119,               0.000119,               0.000119
                     97,                0.79527,                0.30385,                 1.0352,                0.85001,                0.83372,                 0.8833,                0.61227,                 1.1928,                 1.0323,                 1.3563,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.79205,                0.30208,                 1.0265,                0.84622,                0.84783,                0.89138,                0.62154,                  1.173,                0.98511,                 1.3359,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.79157,                0.30214,                 1.0298,                0.84752,                0.83349,                0.88432,                0.61846,                 1.1741,                  1.032,                 1.3359,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.78625,                0.30124,                 1.0273,                0.84747,                0.83175,                0.88258,                0.61637,                 1.1729,                 1.0249,                 1.3337,               3.98e-05,               3.98e-05,               3.98e-05
