                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.89656,                0.34438,                 1.0532,                0.88636,                0.87483,                0.92637,                0.64434,                 1.1737,                0.80495,                 1.3569,                0.00101,                0.00101,                0.00101
                     52,                0.89335,                0.34609,                 1.0487,                0.88081,                0.85744,                0.91683,                0.63732,                 1.1794,                0.91801,                 1.3503,              0.0009902,              0.0009902,              0.0009902
                     53,                0.88909,                0.34108,                 1.0464,                0.90646,                0.85111,                 0.9223,                0.64629,                 1.1813,                0.84587,                 1.3431,              0.0009704,              0.0009704,              0.0009704
                     54,                0.89156,                0.34156,                 1.0451,                0.87559,                 0.8526,                0.91288,                0.64126,                 1.1457,                0.89189,                 1.3165,              0.0009506,              0.0009506,              0.0009506
                     55,                0.88855,                0.34273,                 1.0446,                0.89241,                0.82485,                 0.9108,                 0.6395,                  1.159,                0.90882,                 1.3421,              0.0009308,              0.0009308,              0.0009308
                     56,                0.87976,                0.34014,                 1.0411,                0.85236,                0.84897,                0.90803,                0.62995,                   1.19,                0.91914,                 1.3765,               0.000911,               0.000911,               0.000911
                     57,                0.87429,                0.34132,                 1.0361,                0.88229,                0.84431,                0.91018,                0.64236,                 1.1705,                0.95548,                 1.3489,              0.0008912,              0.0008912,              0.0008912
                     58,                0.88546,                0.34361,                 1.0429,                0.87371,                0.84926,                0.90811,                0.64347,                 1.1587,                0.92345,                 1.3267,              0.0008714,              0.0008714,              0.0008714
                     59,                0.88088,                0.34097,                 1.0531,                0.86455,                0.88024,                0.91872,                0.64998,                 1.1504,                0.81073,                 1.3141,              0.0008516,              0.0008516,              0.0008516
                     60,                0.87917,                0.33971,                 1.0435,                0.85409,                0.86953,                0.91278,                0.63456,                 1.1715,                 0.8611,                 1.3519,              0.0008318,              0.0008318,              0.0008318
                     61,                0.87149,                0.33597,                 1.0451,                0.86127,                0.86412,                0.90236,                0.63403,                 1.1578,                0.83913,                  1.337,               0.000812,               0.000812,               0.000812
